alumno,media_1E,media_2E,media_3E,media_4E,media_1B,media_2B
638,5.48,4.89,4.3,7.1,5.63,
639,5.24,4.77,4.59,4.59,,
640,4.18,2.81,,,,
641,6.6,5.75,6.36,6.93,,
642,5.97,4.3,5.21,,,
643,4.78,5.78,5.18,6.63,1.58,
644,1.28,1.35,,,,
645,7.37,7.65,7.36,8.19,8.97,8.67
646,7.6,6.38,5.05,5.35,,
647,8.1,7.18,6.64,,,
648,5.45,4.48,5.25,4.67,,
649,1.72,2.43,2.58,,,
650,1.67,3.73,,,,
651,0.72,,,,,
652,1.06,1.42,,,,
653,6.7,6.6,5.85,6.04,,
654,1.62,,,,,
655,0.85,1.25,,,,
656,0.71,1.24,0.81,,,
657,8.8,8.3,8.55,5.39,6.34,6.16
658,6.0,4.73,5.3,5.15,,
659,6.18,6.1,5.0,4.26,,
660,5.0,6.27,7.1,5.74,4.82,
